source_facility_id,source_facility_name,source_county,dest_facility_id,dest_facility_name,dest_county,commodity_key,commodity_id,commodity_name,category,distance_km,available_excess,required_deficit,transferable_units,unit_cost,transfer_value,source_days_of_stock,dest_days_of_stock,cost_per_km_per_unit,estimated_transport_cost,roi,priority_score,cumulative_cost,recommendation
FAC0135,Karuri Dispensary,Kilifi,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.5600000000000005,3.029,3.029,300.0,908.6999999999999,96.93877551020408,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,4.269,RECOMMEND
FAC0114,Manyatta Dispensary,Nakuru,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.86,3.029,3.029,300.0,908.6999999999999,107.95454545454547,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,5.7835,RECOMMEND
FAC0107,Chembe Dispensary,Kisumu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,4.85,3.029,3.029,300.0,908.6999999999999,76.19047619047619,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,7.298,RECOMMEND
FAC0062,Naivasha Health Centre,Nakuru,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,15.43,3.029,3.029,300.0,908.6999999999999,103.82775119617224,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,8.8125,RECOMMEND
FAC0109,Mariakani Dispensary,Kisumu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,7.48,3.029,3.029,300.0,908.6999999999999,109.57446808510639,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,10.327,RECOMMEND
FAC0031,Mwala Sub-County Hospital,Machakos,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,19.91,3.029,3.029,300.0,908.6999999999999,73.9514348785872,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,11.8415,RECOMMEND
FAC0129,Kiptere Dispensary,Machakos,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,4.16,3.029,3.029,300.0,908.6999999999999,83.33333333333333,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,13.356,RECOMMEND
FAC0113,Chembe Dispensary,Nakuru,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,4.04,3.029,3.029,300.0,908.6999999999999,156.25,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,14.8705,RECOMMEND
FAC0118,Mji Mwema Dispensary,Uasin Gishu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,4.66,3.029,3.029,300.0,908.6999999999999,98.52941176470588,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,16.384999999999998,RECOMMEND
FAC0106,Rongai Centre Dispensary,Kisumu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,3.54,3.029,3.029,300.0,908.6999999999999,68.47826086956522,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,17.899499999999996,RECOMMEND
FAC0082,Malindi Health Centre,Kilifi,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,10.32,3.029,3.029,300.0,908.6999999999999,80.09708737864078,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,19.413999999999994,RECOMMEND
FAC0147,Manyatta Dispensary,Bungoma,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.43,3.029,3.029,300.0,908.6999999999999,91.01123595505618,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,20.928499999999993,RECOMMEND
FAC0108,Manyatta Dispensary,Kisumu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,4.61,3.029,3.029,300.0,908.6999999999999,79.56989247311829,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,22.44299999999999,RECOMMEND
FAC0130,Ithanga Dispensary,Machakos,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,4.640000000000001,3.029,3.029,300.0,908.6999999999999,80.43478260869566,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,23.95749999999999,RECOMMEND
FAC0138,Manyatta Dispensary,Kilifi,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,4.32,3.029,3.029,300.0,908.6999999999999,75.0,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,25.471999999999987,RECOMMEND
FAC0088,Mt. Elgon Health Centre,Bungoma,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.219999999999999,3.029,3.029,300.0,908.6999999999999,74.99999999999999,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,26.986499999999985,RECOMMEND
FAC0143,Mji Mwema Dispensary,Meru,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,9.59,3.029,3.029,300.0,908.6999999999999,1400.0,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,28.500999999999983,RECOMMEND
FAC0145,Bongom Dispensary,Meru,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,9.36,3.029,3.029,300.0,908.6999999999999,1200.0,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,30.01549999999998,RECOMMEND
FAC0128,Shamba Dispensary,Kiambu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.32,3.029,3.029,300.0,908.6999999999999,91.86046511627909,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,31.52999999999998,RECOMMEND
FAC0096,Kitui Dispensary,Nairobi,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.319999999999999,3.029,3.029,300.0,908.6999999999999,85.41666666666666,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,33.04449999999998,RECOMMEND
FAC0133,Sigor Dispensary,Machakos,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.209999999999999,3.029,3.029,300.0,908.6999999999999,128.57142857142856,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,34.558999999999976,RECOMMEND
FAC0142,Githima Dispensary,Meru,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.14,3.029,3.029,300.0,908.6999999999999,104.8780487804878,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,36.073499999999974,RECOMMEND
FAC0125,Chembe Dispensary,Kiambu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,8.370000000000001,3.029,3.029,300.0,908.6999999999999,194.11764705882354,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,37.58799999999997,RECOMMEND
FAC0093,Shamba Dispensary,Nairobi,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.669999999999999,3.029,3.029,300.0,908.6999999999999,86.13861386138612,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,39.10249999999997,RECOMMEND
FAC0111,Karuri Dispensary,Nakuru,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,3.62,3.029,3.029,300.0,908.6999999999999,67.70833333333333,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,40.61699999999997,RECOMMEND
FAC0068,Kikuyu Health Centre,Kiambu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.97,3.029,3.029,300.0,908.6999999999999,72.34042553191489,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,42.13149999999997,RECOMMEND
FAC0124,Rongai Centre Dispensary,Kiambu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,7.92,3.029,3.029,300.0,908.6999999999999,150.0,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,43.645999999999965,RECOMMEND
FAC0127,Mariakani Dispensary,Kiambu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.4399999999999995,3.029,3.029,300.0,908.6999999999999,100.0,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,45.16049999999996,RECOMMEND
FAC0110,Shamba Dispensary,Kisumu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,3.05,3.029,3.029,300.0,908.6999999999999,76.92307692307692,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,46.67499999999996,RECOMMEND
FAC0094,Kiptere Dispensary,Nairobi,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,7.47,3.029,3.029,300.0,908.6999999999999,135.21126760563382,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,48.18949999999996,RECOMMEND
FAC0140,Shamba Dispensary,Kilifi,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.59,3.029,3.029,300.0,908.6999999999999,105.74712643678161,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,49.70399999999996,RECOMMEND
FAC0149,Shamba Dispensary,Bungoma,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.77,3.029,3.029,300.0,908.6999999999999,104.3956043956044,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,51.218499999999956,RECOMMEND
FAC0121,Baraka Dispensary,Uasin Gishu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,7.619999999999999,3.029,3.029,300.0,908.6999999999999,241.66666666666666,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,52.732999999999954,RECOMMEND
FAC0131,Kitui Dispensary,Machakos,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,3.1500000000000004,3.029,3.029,300.0,908.6999999999999,72.00000000000001,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,54.24749999999995,RECOMMEND
FAC0141,Soin Dispensary,Meru,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,3.6199999999999997,3.029,3.029,300.0,908.6999999999999,633.3333333333333,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,55.76199999999995,RECOMMEND
FAC0065,Soy Health Centre,Uasin Gishu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.02,3.029,3.029,300.0,908.6999999999999,74.26470588235293,2.3183925811437405,2.5,1.5145,361.38397295685024,837.8299218474117,57.27649999999995,RECOMMEND
FAC0137,Chembe Dispensary,Kilifi,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,3.02,3.029,3.02,300.0,906.0,69.73684210526315,2.3183925811437405,2.5,1.51,360.9561752988048,836.8381189307685,58.78649999999995,RECOMMEND
FAC0112,Rongai Centre Dispensary,Nakuru,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,2.74,3.029,2.74,300.0,822.0000000000001,59.78260869565217,2.3183925811437405,2.5,1.37,346.8354430379747,804.1007180169429,60.156499999999944,RECOMMEND
FAC0123,Karuri Dispensary,Kiambu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,2.39,3.029,2.39,300.0,717.0,65.67164179104478,2.3183925811437405,2.5,1.195,326.65148063781317,757.3063693303242,61.351499999999945,RECOMMEND
FAC0126,Manyatta Dispensary,Kiambu,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,2.19,3.029,2.19,300.0,657.0,55.17241379310345,2.3183925811437405,2.5,1.095,313.60381861575183,727.0567664971063,62.44649999999994,RECOMMEND
FAC0133,Sigor Dispensary,Machakos,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.209999999999999,2.922999999999999,2.922999999999999,300.0,876.8999999999997,128.57142857142856,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,63.907999999999944,RECOMMEND
FAC0107,Chembe Dispensary,Kisumu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,4.85,2.922999999999999,2.922999999999999,300.0,876.8999999999997,76.19047619047619,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,65.36949999999995,RECOMMEND
FAC0140,Shamba Dispensary,Kilifi,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.59,2.922999999999999,2.922999999999999,300.0,876.8999999999997,105.74712643678161,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,66.83099999999995,RECOMMEND
FAC0149,Shamba Dispensary,Bungoma,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.77,2.922999999999999,2.922999999999999,300.0,876.8999999999997,104.3956043956044,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,68.29249999999995,RECOMMEND
FAC0131,Kitui Dispensary,Machakos,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,3.1500000000000004,2.922999999999999,2.922999999999999,300.0,876.8999999999997,72.00000000000001,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,69.75399999999995,RECOMMEND
FAC0109,Mariakani Dispensary,Kisumu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,7.48,2.922999999999999,2.922999999999999,300.0,876.8999999999997,109.57446808510639,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,71.21549999999995,RECOMMEND
FAC0124,Rongai Centre Dispensary,Kiambu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,7.92,2.922999999999999,2.922999999999999,300.0,876.8999999999997,150.0,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,72.67699999999995,RECOMMEND
FAC0104,Kitui Dispensary,Mombasa,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.25,2.922999999999999,2.922999999999999,300.0,876.8999999999997,113.33333333333334,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,74.13849999999995,RECOMMEND
FAC0031,Mwala Sub-County Hospital,Machakos,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,19.91,2.922999999999999,2.922999999999999,300.0,876.8999999999997,73.9514348785872,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,75.59999999999995,RECOMMEND
FAC0137,Chembe Dispensary,Kilifi,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,3.02,2.922999999999999,2.922999999999999,300.0,876.8999999999997,69.73684210526315,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,77.06149999999995,RECOMMEND
FAC0110,Shamba Dispensary,Kisumu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,3.05,2.922999999999999,2.922999999999999,300.0,876.8999999999997,76.92307692307692,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,78.52299999999995,RECOMMEND
FAC0062,Naivasha Health Centre,Nakuru,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,15.43,2.922999999999999,2.922999999999999,300.0,876.8999999999997,103.82775119617224,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,79.98449999999995,RECOMMEND
FAC0094,Kiptere Dispensary,Nairobi,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,7.47,2.922999999999999,2.922999999999999,300.0,876.8999999999997,135.21126760563382,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,81.44599999999996,RECOMMEND
FAC0127,Mariakani Dispensary,Kiambu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.4399999999999995,2.922999999999999,2.922999999999999,300.0,876.8999999999997,100.0,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,82.90749999999996,RECOMMEND
FAC0135,Karuri Dispensary,Kilifi,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.5600000000000005,2.922999999999999,2.922999999999999,300.0,876.8999999999997,96.93877551020408,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,84.36899999999996,RECOMMEND
FAC0114,Manyatta Dispensary,Nakuru,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.86,2.922999999999999,2.922999999999999,300.0,876.8999999999997,107.95454545454547,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,85.83049999999996,RECOMMEND
FAC0147,Manyatta Dispensary,Bungoma,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.43,2.922999999999999,2.922999999999999,300.0,876.8999999999997,91.01123595505618,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,87.29199999999996,RECOMMEND
FAC0113,Chembe Dispensary,Nakuru,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,4.04,2.922999999999999,2.922999999999999,300.0,876.8999999999997,156.25,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,88.75349999999996,RECOMMEND
FAC0145,Bongom Dispensary,Meru,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,9.36,2.922999999999999,2.922999999999999,300.0,876.8999999999997,1200.0,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,90.21499999999996,RECOMMEND
FAC0129,Kiptere Dispensary,Machakos,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,4.16,2.922999999999999,2.922999999999999,300.0,876.8999999999997,83.33333333333333,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,91.67649999999996,RECOMMEND
FAC0143,Mji Mwema Dispensary,Meru,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,9.59,2.922999999999999,2.922999999999999,300.0,876.8999999999997,1400.0,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,93.13799999999996,RECOMMEND
FAC0088,Mt. Elgon Health Centre,Bungoma,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.219999999999999,2.922999999999999,2.922999999999999,300.0,876.8999999999997,74.99999999999999,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,94.59949999999996,RECOMMEND
FAC0106,Rongai Centre Dispensary,Kisumu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,3.54,2.922999999999999,2.922999999999999,300.0,876.8999999999997,68.47826086956522,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,96.06099999999996,RECOMMEND
FAC0125,Chembe Dispensary,Kiambu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,8.370000000000001,2.922999999999999,2.922999999999999,300.0,876.8999999999997,194.11764705882354,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,97.52249999999997,RECOMMEND
FAC0068,Kikuyu Health Centre,Kiambu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.97,2.922999999999999,2.922999999999999,300.0,876.8999999999997,72.34042553191489,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,98.98399999999997,RECOMMEND
FAC0093,Shamba Dispensary,Nairobi,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.669999999999999,2.922999999999999,2.922999999999999,300.0,876.8999999999997,86.13861386138612,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,100.44549999999997,RECOMMEND
FAC0142,Githima Dispensary,Meru,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,6.14,2.922999999999999,2.922999999999999,300.0,876.8999999999997,104.8780487804878,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,101.90699999999997,RECOMMEND
FAC0128,Shamba Dispensary,Kiambu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.32,2.922999999999999,2.922999999999999,300.0,876.8999999999997,91.86046511627909,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,103.36849999999997,RECOMMEND
FAC0111,Karuri Dispensary,Nakuru,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,3.62,2.922999999999999,2.922999999999999,300.0,876.8999999999997,67.70833333333333,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,104.82999999999997,RECOMMEND
FAC0096,Kitui Dispensary,Nairobi,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,200.0,5.319999999999999,2.922999999999999,2.922999999999999,300.0,876.8999999999997,85.41666666666666,2.037351443123939,2.5,1.4614999999999996,356.24619134673975,725.7986920476872,106.29149999999997,RECOMMEND
